Date,Price,Open,High,Low,Change %
5-Jan-17,115.36,117.25,117.44,115.22,-1.63%
6-Jan-17,116.92,115.36,117.19,115.06,1.35%
9-Jan-17,116.03,116.91,117.53,115.97,-0.76%
10-Jan-17,115.77,116.02,116.35,115.19,-0.22%
11-Jan-17,115.41,115.78,116.86,114.24,-0.31%
12-Jan-17,114.72,115.42,115.53,113.75,-0.60%
13-Jan-17,114.53,114.72,115.46,114.2,-0.17%
16-Jan-17,114.2,114.55,114.55,113.67,-0.29%
17-Jan-17,112.64,114.19,114.3,112.59,-1.37%
18-Jan-17,114.67,112.61,114.77,112.56,1.80%
19-Jan-17,114.87,114.63,115.62,114.38,0.17%
20-Jan-17,114.62,114.88,115.41,114.22,-0.22%
23-Jan-17,112.7,114.37,114.45,112.68,-1.68%
24-Jan-17,113.8,112.7,113.91,112.5,0.98%
25-Jan-17,113.28,113.78,114,113.03,-0.46%
26-Jan-17,114.53,113.28,114.86,113.03,1.10%
27-Jan-17,115.08,114.53,115.39,114.39,0.48%
30-Jan-17,113.78,115.09,115.14,113.44,-1.13%
31-Jan-17,112.8,113.75,113.97,112.06,-0.86%
1-Feb-17,113.25,112.81,113.97,112.62,0.40%
2-Feb-17,112.81,113.25,113.36,112.03,-0.39%
3-Feb-17,112.7,112.78,113.45,112.28,-0.10%
6-Feb-17,111.75,112.42,112.81,111.64,-0.84%
7-Feb-17,112.39,111.75,112.58,111.58,0.57%
8-Feb-17,111.94,112.36,112.55,111.61,-0.40%
9-Feb-17,113.25,111.97,113.38,111.73,1.17%
10-Feb-17,113.22,113.25,113.88,112.86,-0.03%
13-Feb-17,113.75,113.33,114.17,113.28,0.47%
14-Feb-17,114.26,113.73,114.5,113.22,0.45%
15-Feb-17,114.17,114.23,114.97,113.84,-0.08%
16-Feb-17,113.23,114.17,114.36,113.09,-0.82%
17-Feb-17,112.88,113.25,113.53,112.61,-0.31%
20-Feb-17,113.1,112.86,113.26,112.78,0.19%
21-Feb-17,113.69,113.08,113.78,113.08,0.52%
22-Feb-17,113.3,113.72,113.75,112.91,-0.34%
23-Feb-17,112.59,113.31,113.47,112.56,-0.63%
24-Feb-17,112.19,112.61,112.96,111.92,-0.36%
