Date,Price,Open,High,Low,Change %
28-Dec-16,1.0412,1.0458,1.0483,1.0373,-0.43%
29-Dec-16,1.0492,1.0417,1.0494,1.0406,0.77%
30-Dec-16,1.0516,1.0492,1.0654,1.0482,0.23%
2-Jan-17,1.0459,1.0532,1.0534,1.0449,-0.54%
3-Jan-17,1.0406,1.0455,1.0492,1.0341,-0.51%
4-Jan-17,1.0488,1.0405,1.0501,1.0389,0.79%
5-Jan-17,1.0607,1.0493,1.0619,1.0482,1.13%
6-Jan-17,1.0533,1.0606,1.0624,1.0523,-0.70%
9-Jan-17,1.0574,1.0539,1.0584,1.051,0.39%
10-Jan-17,1.0554,1.0573,1.0628,1.0551,-0.19%
11-Jan-17,1.0582,1.0556,1.0624,1.0454,0.27%
12-Jan-17,1.0613,1.0582,1.0687,1.0573,0.29%
13-Jan-17,1.0644,1.0612,1.0674,1.0598,0.29%
16-Jan-17,1.0603,1.0618,1.0638,1.058,-0.39%
17-Jan-17,1.0714,1.0599,1.0719,1.0595,1.05%
18-Jan-17,1.0631,1.0713,1.0716,1.0624,-0.77%
19-Jan-17,1.0664,1.0629,1.0677,1.0588,0.31%
20-Jan-17,1.0703,1.0667,1.0713,1.0627,0.37%
23-Jan-17,1.0765,1.0687,1.0773,1.0686,0.58%
24-Jan-17,1.0731,1.0763,1.0775,1.0718,-0.32%
25-Jan-17,1.0748,1.0734,1.0773,1.0713,0.16%
26-Jan-17,1.0682,1.0746,1.0767,1.0657,-0.61%
27-Jan-17,1.0699,1.0685,1.0729,1.0661,0.16%
30-Jan-17,1.0695,1.0692,1.0742,1.0619,-0.04%
31-Jan-17,1.0798,1.0695,1.0814,1.0684,0.96%
1-Feb-17,1.0769,1.0798,1.081,1.0731,-0.27%
2-Feb-17,1.0758,1.0767,1.0829,1.0753,-0.10%
3-Feb-17,1.0784,1.0759,1.08,1.0714,0.24%
6-Feb-17,1.075,1.0781,1.0801,1.0703,-0.32%
7-Feb-17,1.0681,1.075,1.0751,1.0654,-0.64%
8-Feb-17,1.0698,1.0682,1.0715,1.0639,0.16%
9-Feb-17,1.0656,1.0699,1.0711,1.065,-0.39%
10-Feb-17,1.0641,1.0658,1.067,1.0609,-0.14%
13-Feb-17,1.0598,1.0634,1.0658,1.0592,-0.40%
14-Feb-17,1.0577,1.0596,1.0634,1.0559,-0.20%
15-Feb-17,1.0601,1.0577,1.0611,1.0523,0.23%
16-Feb-17,1.0674,1.06,1.0682,1.0588,0.69%
17-Feb-17,1.0614,1.0675,1.0679,1.0605,-0.56%
20-Feb-17,1.0614,1.0618,1.0637,1.0606,0.00%
21-Feb-17,1.0537,1.0611,1.0618,1.0526,-0.73%
22-Feb-17,1.0556,1.0534,1.0574,1.0493,0.18%
23-Feb-17,1.0581,1.0557,1.0597,1.0538,0.24%
24-Feb-17,1.0563,1.0583,1.062,1.0557,-0.17%
27-Feb-17,1.0588,1.0562,1.0633,1.0552,0.24%
28-Feb-17,1.0577,1.0587,1.0632,1.057,-0.10%
1-Mar-17,1.0548,1.0575,1.059,1.0514,-0.27%
2-Mar-17,1.0507,1.0547,1.0552,1.0493,-0.39%
3-Mar-17,1.0623,1.0508,1.0626,1.0502,1.10%
6-Mar-17,1.0581,1.0617,1.0643,1.0575,-0.40%
7-Mar-17,1.0566,1.0583,1.0603,1.0557,-0.14%
8-Mar-17,1.0541,1.0566,1.0576,1.0535,-0.24%
9-Mar-17,1.0577,1.0541,1.0617,1.0525,0.34%
10-Mar-17,1.0672,1.0577,1.0702,1.0572,0.90%
13-Mar-17,1.0654,1.0672,1.0715,1.065,-0.17%
14-Mar-17,1.0604,1.0655,1.0664,1.0599,-0.47%
15-Mar-17,1.0735,1.0604,1.0742,1.0603,1.24%
16-Mar-17,1.0766,1.0734,1.0772,1.0706,0.29%
17-Mar-17,1.0738,1.0765,1.0784,1.0728,-0.26%
20-Mar-17,1.0739,1.074,1.0779,1.0725,0.01%
21-Mar-17,1.0811,1.074,1.0822,1.072,0.67%
22-Mar-17,1.0797,1.081,1.0827,1.0776,-0.13%
23-Mar-17,1.0783,1.0797,1.0807,1.0769,-0.13%
24-Mar-17,1.0799,1.0784,1.082,1.0761,0.15%
27-Mar-17,1.0865,1.0797,1.0905,1.0795,0.61%
28-Mar-17,1.0813,1.0864,1.0873,1.0797,-0.48%
29-Mar-17,1.0767,1.0811,1.0827,1.0739,-0.43%
30-Mar-17,1.0675,1.0765,1.0772,1.0671,-0.85%
31-Mar-17,1.0652,1.0675,1.0705,1.0652,-0.22%
3-Apr-17,1.0671,1.066,1.0683,1.0643,0.18%
