Date,Price,Open,High,Low,Vol.,Change %
2/20/2017,2353.25,"2,347.25","2,356.75","2,346.00",-,0.24%
2/21/2017,2360.00,"2,346.50","2,365.00","2,346.00",1.65M,0.29%
2/22/2017,2361.00,"2,360.00","2,363.75","2,355.25",1.30M,0.04%
2/23/2017,2362.75,"2,362.00","2,367.50","2,353.00",1.56M,0.07%
2/24/2017,2365.00,"2,361.50","2,365.75","2,349.50",1.55M,0.10%
2/27/2017,2368.25,"2,362.75","2,370.75","2,361.00",1.16M,0.14%
2/28/2017,2362.75,"2,365.75","2,368.75","2,357.50",1.61M,-0.23%
3/1/2017,2393.50,"2,364.50","2,401.00","2,363.25",2.17M,1.30%
3/2/2017,2382.00,"2,392.25","2,394.25","2,378.00",1.74M,-0.48%
3/3/2017,2381.25,"2,379.75","2,383.25","2,373.75",1.36M,-0.03%
3/6/2017,2375.50,"2,380.25","2,380.75","2,367.00",1.38M,-0.24%
3/7/2017,2366.50,"2,371.25","2,375.50","2,364.50",1.30M,-0.38%
3/8/2017,2364.00,"2,365.75","2,373.00","2,359.50",1.65M,-0.11%
3/9/2017,2366.25,"2,363.75","2,369.25","2,354.00",1.79M,0.10%
3/10/2017,2371.75,"2,367.50","2,379.75","2,362.25",1.36M,0.23%
3/13/2017,2375.00,"2,370.75","2,375.25","2,368.00",1.04M,0.14%
3/14/2017,2366.50,"2,374.00","2,374.75","2,358.00",952.37K,-0.36%
3/15/2017,2383.75,"2,367.00","2,390.50","2,366.50",621.38K,0.73%
3/16/2017,2382.75,"2,382.50","2,392.00","2,376.75",377.98K,-0.04%
3/17/2017,2385.80,"2,382.25","2,385.75","2,379.00",42.54K,0.13%
3/20/2017,2370.25,"2,373.75","2,376.00","2,365.50",1.08M,-0.65%
3/21/2017,2342.25,"2,369.00","2,378.75","2,338.00",2.57M,-1.18%
3/22/2017,2342.50,"2,340.50","2,348.75","2,332.25",1.88M,0.01%
3/23/2017,2340.00,"2,342.25","2,356.00","2,338.25",1.63M,-0.11%
3/24/2017,2344.75,"2,341.00","2,352.75","2,331.75",1.60M,0.20%
3/27/2017,2338.50,"2,337.00","2,341.50","2,317.75",1.61M,-0.27%
3/28/2017,2351.50,"2,340.50","2,360.50","2,333.50",1.62M,0.56%
3/29/2017,2357.00,"2,353.00","2,359.75","2,348.75",1.15M,0.23%
3/30/2017,2364.50,"2,357.00","2,366.75","2,353.25",1.16M,0.32%
3/31/2017,2359.25,"2,365.50","2,366.75","2,356.75",1.57M,-0.22%
4/3/2017,2356.00,"2,357.50","2,363.25","2,340.00",1.72M,-0.14%
